

Congressional Directory for the 106th Congress (1999-2000), June 1999. - 


Congressional Directory for the 106th Congress (1999-2000), June 1999.
[Pages 321-324]
[From the U.S. Government Publishing Office, www.gpo.gov]


[[Page 321]]


                    REPRESENTATIVES - 106TH CONGRESS

 Republicans in roman (222). Democrats in italic (211). Independents in 
                   bold (1). [Vacant] (1). Total 435.

Abercrombie, Neil, HI (1st) (D)
Ackerman, Gary L., NY (5th) (D)
Aderholt, Robert, AL (4th) (R)
Allen, Thomas H., ME (1st) (D)
Andrews, Robert E., NJ (1st) (D)
Archer, Bill, TX (7th) (R)
Armey, Dick, TX (26th) (R)
Bachus, Spencer, AL (6th) (R)
Baird, Brian, WA (3rd) (D)
Baker, Richard H., LA (6th) (R)
Baldacci, John Elias, ME (2nd) (D)
Baldwin, Tammy, WI (2nd) (D)
Ballenger, Cass, NC (10th) (R)
Barcia, James A., MI (5th) (D)
Barr, Bob, GA (7th) (R)
Barrett, Bill, NE (3rd) (R)
Barrett, Thomas M., WI (5th) (D)
Bartlett, Roscoe G., MD (6th) (R)
Barton, Joe, TX (6th) (R)
Bass, Charles, NH (2nd) (R)
Bateman, Herbert H., VA (1st) (R)
Becerra, Xavier, CA (30th) (D)
Bentsen, Ken, TX (25th) (D)
Bereuter, Doug, NE (1st) (R)
Berkley, Shelley, NV (1st) (D)
Berman, Howard L., CA (26th) (D)
Berry, Marion, AR (1st) (D)
Biggert, Judy, IL (13th) (R)
Bilbray, Brian P., CA (49th) (R)
Bilirakis, Michael, FL (9th) (R)
Bishop, Sanford D., Jr., GA (2nd) (D)
Blagojevich, Rod, IL (5th) (D)
Bliley, Tom, VA (7th) (R)
Blumenauer, Earl, OR (3rd) (D)
Blunt, Roy, MO (7th) (R)
Boehlert, Sherwood L., NY (23rd) (R)
Boehner, John A., OH (8th) (R)
Bonilla, Henry, TX (23rd) (R)
Bonior, David E., MI (10th) (D)
Bono, Mary, CA (44th) (R)
Borski, Robert A., PA (3rd) (D)
Boswell, Leonard L., IA (3rd) (D)
Boucher, Rick, VA (9th) (D)
Boyd, Allen, FL (2nd) (D)
Brady, Kevin, TX (8th) (R)
Brady, Robert A., PA (1st) (D)
Brown, Corrine, FL (3rd) (D)
[Brown, George E., Jr.], CA (42nd) (D)
Brown, Sherrod, OH (13th) (D)
Bryant, Ed, TN (7th) (R)
Burr, Richard M., NC (5th) (R)
Burton, Dan, IN (6th) (R)
Buyer, Steve, IN (5th) (R)
Callahan, Sonny, AL (1st) (R)
Calvert, Ken, CA (43rd) (R)
Camp, Dave, MI (4th) (R)
Campbell, Tom, CA (15th) (R)
Canady, Charles T., FL (12th) (R)
Cannon, Christopher B., UT (3rd) (R)
Capps, Lois, CA (22nd) (D)
Capuano, Michael E., MA (8th) (D)
Cardin, Benjamin L., MD (3rd) (D)
Carson, Julia M., IN (10th) (D)
Castle, Michael N., DE (At Large) (R)
Chabot, Steve, OH (1st) (R)
Chambliss, Saxby, GA (8th) (R)
Chenoweth, Helen, ID (1st) (R)
Clay, William (Bill), MO (1st) (D)
Clayton, Eva, NC (1st) (D)
Clement, Bob, TN (5th) (D)
Clyburn, James E., SC (6th) (D)
Coble, Howard, NC (6th) (R)
Coburn, Thomas A., OK (2nd) (R)
Collins, Mac, GA (3rd) (R)
Combest, Larry, TX (19th) (R)
Condit, Gary A., CA (18th) (D)
Conyers, John, Jr., MI (14th) (D)
Cook, Merrill, UT (2nd) (R)
Cooksey, John, LA (5th) (R)
Costello, Jerry F., IL (12th) (D)
Cox, Christopher, CA (47th) (R)
Coyne, William J., PA (14th) (D)
Cramer, Bud, AL (5th) (D)
Crane, Philip M., IL (8th) (R)
Crowley, Joseph, NY (7th) (D)
Cubin, Barbara, WY (At Large) (R)
Cummings, Elijah E., MD (7th) (D)
Cunningham, Randy (Duke), CA (51st) (R)
Danner, Pat, MO (6th) (D)
Davis, Danny K., IL (7th) (D)
Davis, Jim, FL (11th) (D)
Davis, Thomas M., III, VA (11th) (R)
Deal, Nathan, GA (9th) (R)
DeFazio, Peter A., OR (4th) (D)
DeGette, Diana, CO (1st) (D)
Delahunt, William D., MA (10th) (D)
DeLauro, Rosa L., CT (3rd) (D)
DeLay, Tom, TX (22nd) (R)
DeMint, Jim, SC (4th) (R)
Deutsch, Peter, FL (20th) (D)
Diaz-Balart, Lincoln, FL (21st) (R)
Dickey, Jay, AR (4th) (R)
Dicks, Norman D., WA (6th) (D)
Dingell, John D., MI (16th) (D)
Dixon, Julian C., CA (32nd) (D)
Doggett, Lloyd, TX (10th) (D)
Dooley, Calvin M., CA (20th) (D)
Doolittle, John T., CA (4th) (R)

[[Page 322]]


Doyle, Michael F., PA (18th) (D)
Dreier, David, CA (28th) (R)
Duncan, John J., Jr., TN (2nd) (R)
Dunn, Jennifer, WA (8th) (R)
Edwards, Chet, TX (11th) (D)
Ehlers, Vernon, MI (3rd) (R)
Ehrlich, Robert, Jr., MD (2nd) (R)
Emerson, Jo Ann, MO (8th) (R)
Engel, Eliot L., NY (17th) (D)
English, Phil, PA (21st) (R)
Eshoo, Anna G., CA (14th) (D)
Etheridge, Bob, NC (2nd) (D)
Evans, Lane, IL (17th) (D)
Everett, Terry, AL (2nd) (R)
Ewing, Thomas W., IL (15th) (R)
Farr, Sam, CA (17th) (D)
Fattah, Chaka, PA (2nd) (D)
Filner, Bob, CA (50th) (D)
Fletcher, Ernest L., KY (6th) (R)
Foley, Mark, FL (16th) (R)
Forbes, Michael P., NY (1st) (D)
Ford, Harold E., Jr., TN (9th) (D)
Fossella, Vito, NY (13th) (R)
Fowler, Tillie K., FL (4th) (R)
Frank, Barney, MA (4th) (D)
Franks, Bob, NJ (7th) (R)
Frelinghuysen, Rodney P., NJ (11th) (R)
Frost, Martin, TX (24th) (D)
Gallegly, Elton, CA (23rd) (R)
Ganske, Greg, IA (4th) (R)
Gejdenson, Sam, CT (2nd) (D)
Gekas, George W., PA (17th) (R)
Gephardt, Richard A., MO (3rd) (D)
Gibbons, Jim, NV (2nd) (R)
Gilchrest, Wayne T., MD (1st) (R)
Gillmor, Paul E., OH (5th) (R)
Gilman, Benjamin A., NY (20th) (R)
Gonzalez, Charles A., TX (20th) (D)
Goode, Virgil H., Jr., VA (5th) (D)
Goodlatte, Robert W. (Bob), VA (6th) (R)
Goodling, William F., PA (19th) (R)
Gordon, Bart, TN (6th) (D)
Goss, Porter J., FL (14th) (R)
Graham, Lindsey, SC (3rd) (R)
Granger, Kay, TX (12th) (R)
Green, Gene, TX (29th) (D)
Green, Mark, WI (8th) (R)
Greenwood, James C., PA (8th) (R)
Gutierrez, Luis V., IL (4th) (D)
