

Congressional Directory for the 106th Congress (1999-2000), June 1999. - 


Congressional Directory for the 106th Congress (1999-2000), June 1999.
[Page 319]
[From the U.S. Government Publishing Office, www.gpo.gov]


[[Page 319]]


                        SENATORS - 106TH CONGRESS

          Republicans in roman (54). Democrats in italic (45). 
                        Independents in bold (1).

Abraham, Spencer, MI (R)
Akaka, Daniel K., HI (D)
Allard, Wayne, CO (R)
Ashcroft, John, MO (R)
Baucus, Max, MT (D)
Bayh, Evan, IN (D)
Bennett, Robert F., UT (R)
Biden, Joseph R., Jr., DE (D)
Bingaman, Jeff, NM (D)
Bond, Christopher S., MO (R)
Boxer, Barbara, CA (D)
Breaux, John B., LA (D)
Brownback, Samuel Dale, KS (R)
Bryan, Richard H., NV (D)
Bunning, Jim, KY (R)
Burns, Conrad R., MT (R)
Byrd, Robert C., WV (D)
Campbell, Ben Nighthorse, CO (R)
Chafee, John H., RI (R)
Cleland, Max, GA (D)
Cochran, Thad, MS (R)
Collins, Susan, ME (R)
Conrad, Kent, ND (D)
Coverdell, Paul, GA (R)
Craig, Larry E., ID (R)
Crapo, Michael D., ID (R)
Daschle, Thomas A., SD (D)
DeWine, Mike, OH (R)
Dodd, Christopher J., CT (D)
Domenici, Pete V., NM (R)
Dorgan, Byron L., ND (D)
Durbin, Richard J., IL (D)
Edwards, John, NC (D)
Enzi, Michael B., WY (R)
Feingold, Russell D., WI (D)
Feinstein, Dianne, CA (D)
Fitzgerald, Peter G., IL (R)
Frist, Bill, TN (R)
Gorton, Slade, WA (R)
Graham, Bob, FL (D)
Gramm, Phil, TX (R)
Grams, Rod, MN (R)
Grassley, Charles E., IA (R)
Gregg, Judd, NH (R)
Hagel, Chuck, NE (R)
Harkin, Tom, IA (D)
Hatch, Orrin G., UT (R)
Helms, Jesse, NC (R)
Hollings, Ernest F., SC (D)
Hutchinson, Tim, AR (R)
Hutchison, Kay Bailey, TX (R)
Inhofe, James M., OK (R)
Inouye, Daniel K., HI (D)
Jeffords, James M., VT (R)
Johnson, Tim, SD (D)
Kennedy, Edward M., MA (D)
Kerrey, J. Robert, NE (D)
Kerry, John F., MA (D)
Kohl, Herb, WI (D)
Kyl, Jon, AZ (R)
Landrieu, Mary, LA (D)
Lautenberg, Frank R, NJ (D)
Leahy, Patrick J., VT (D)
Levin, Carl, MI (D)
Lieberman, Joseph I., CT (D)
Lincoln, Blanche L., AR (D)
Lott, Trent, MS (R)
Lugar, Richard G., IN (R)
Mack, Connie, FL (R)
McCain, John, AZ (R)
McConnell, Mitch, KY (R)
Mikulski, Barbara A., MD (D)
Moynihan, Daniel P., NY (D)
Murkowski, Frank H., AK (R)
Murray, Patty, WA (D)
Nickles, Don, OK (R)
Reed, Jack, RI (D)
Reid, Harry, NV (D)
Robb, Charles S., VA (D)
Roberts, Pat, KS (R)
Rockefeller, John D., IV, WV (D)
Roth, William V., Jr., DE (R)
Santorum, Rick, PA (R)
Sarbanes, Paul S., MD (D)
Schumer, Charles E., NY (D)
Sessions, Jeff, AL (R)
Shelby, Richard C., AL (R)
Smith, Bob, NH (I)
Smith, Gordon, OR (R)
Snowe, Olympia J., ME (R)
Specter, Arlen, PA (R)
Stevens, Ted, AK (R)
Thomas, Craig, WY (R)
Thompson, Fred, TN (R)
Thurmond, Strom, SC (R)
Torricelli, Robert G., NJ (D)
Voinovich, George V., OH (R)
Warner, John W., VA (R)
Wellstone, Paul David, MN (D)
Wyden, Ron, OR (D)


