

Congressional Directory for the 106th Congress (1999-2000), February 2000. - 


Congressional Directory for the 106th Congress (1999-2000), February 2000.
[Page 319]
[From the U.S. Government Publishing Office, www.gpo.gov]


                        SENATORS - 106TH CONGRESS

          Republicans in roman (54). Democrats in italic (45). 
                        Independents in bold (1).

Abraham, Spencer, MI
Akaka, Daniel K., HI
Allard, Wayne, CO
Ashcroft, John, MO
Baucus, Max, MT
Bayh, Evan, IN
Bennett, Robert F., UT
Biden, Joseph R., Jr., DE
Bingaman, Jeff, NM
Bond, Christopher S., MO
Boxer, Barbara, CA
Breaux, John B., LA
Brownback, Samuel Dale, KS
Bryan, Richard H., NV
Bunning, Jim, KY
Burns, Conrad R., MT
Byrd, Robert C., WV
Campbell, Ben Nighthorse, CO
Chafee, John H., RI
Cleland, Max, GA
Cochran, Thad, MS
Collins, Susan, ME
Conrad, Kent, ND
Coverdell, Paul, GA
Craig, Larry E., ID
Crapo, Michael D., ID
Daschle, Thomas A., SD
DeWine, Mike, OH
Dodd, Christopher J., CT
Domenici, Pete V., NM
Dorgan, Byron L., ND
Durbin, Richard J., IL
Edwards, John, NC
Enzi, Michael B., WY
Feingold, Russell D., WI
Feinstein, Dianne, CA
Fitzgerald, Peter G., IL
Frist, Bill, TN
Gorton, Slade, WA
Graham, Bob, FL
Gramm, Phil, TX
Grams, Rod, MN
Grassley, Charles E., IA
Gregg, Judd, NH
Hagel, Chuck, NE
Harkin, Tom, IA
Hatch, Orrin G., UT
Helms, Jesse, NC
Hollings, Ernest F., SC
Hutchinson, Tim, AR
Hutchison, Kay Bailey, TX
Inhofe, James M., OK
Inouye, Daniel K., HI
Jeffords, James M., VT
Johnson, Tim, SD
Kennedy, Edward M., MA
Kerrey, J. Robert, NE
Kerry, John F., MA
Kohl, Herb, WI
Kyl, Jon, AZ
Landrieu, Mary, LA
Lautenberg, Frank R, NJ
Leahy, Patrick J., VT
Levin, Carl, MI
Lieberman, Joseph I., CT
Lincoln, Blanche L., AR
Lott, Trent, MS
Lugar, Richard G., IN
Mack, Connie, FL
McCain, John, AZ
McConnell, Mitch, KY
Mikulski, Barbara A., MD
Moynihan, Daniel P., NY
Murkowski, Frank H., AK
Murray, Patty, WA
Nickles, Don, OK
Reed, Jack, RI
Reid, Harry, NV
Robb, Charles S., VA
Roberts, Pat, KS
Rockefeller, John D., IV, WV
Roth, William V., Jr., DE
Santorum, Rick, PA
Sarbanes, Paul S., MD
Schumer, Charles E., NY
Sessions, Jeff, AL
Shelby, Richard C., AL
Smith, Bob, NH
Smith, Gordon, OR
Snowe, Olympia J., ME
Specter, Arlen, PA
Stevens, Ted, AK
Thomas, Craig, WY
Thompson, Fred, TN
Thurmond, Strom, SC
Torricelli, Robert G., NJ
Voinovich, George V., OH
Warner, John W., VA
Wellstone, Paul David, MN
Wyden, Ron, OR




