

Congressional Directory for the 106th Congress (1999-2000), October 2000. - 


Congressional Directory for the 106th Congress (1999-2000), October 2000.
[Pages 321-324]
[From the U.S. Government Publishing Office, www.gpo.gov]


[[Page 321]]

                    REPRESENTATIVES - 106TH CONGRESS

 Republicans in roman (222). Democrats in italic (211). Independents in 
                   bold (1). [Vacant] (1). Total 435.

Abercrombie, Neil, HI (1st)
Ackerman, Gary L., NY (5th)
Aderholt, Robert, AL (4th)
Allen, Thomas H., ME (1st)
Andrews, Robert E., NJ (1st)
Archer, Bill, TX (7th)
Armey, Dick, TX (26th)
Bachus, Spencer, AL (6th)
Baird, Brian, WA (3rd)
Baker, Richard H., LA (6th)
Baldacci, John Elias, ME (2nd)
Baldwin, Tammy, WI (2nd)
Ballenger, Cass, NC (10th)
Barcia, James A., MI (5th)
Barr, Bob, GA (7th)
Barrett, Bill, NE (3rd)
Barrett, Thomas M., WI (5th)
Bartlett, Roscoe G., MD (6th)
Barton, Joe, TX (6th)
Bass, Charles, NH (2nd)
Bateman, Herbert H., VA (1st)
Becerra, Xavier, CA (30th)
Bentsen, Ken, TX (25th)
Bereuter, Doug, NE (1st)
Berkley, Shelley, NV (1st)
Berman, Howard L., CA (26th)
Berry, Marion, AR (1st)
Biggert, Judy, IL (13th)
Bilbray, Brian P., CA (49th)
Bilirakis, Michael, FL (9th)
Bishop, Sanford D., Jr., GA (2nd)
Blagojevich, Rod, IL (5th)
Bliley, Tom, VA (7th)
Blumenauer, Earl, OR (3rd)
Blunt, Roy, MO (7th)
Boehlert, Sherwood L., NY (23rd)
Boehner, John A., OH (8th)
Bonilla, Henry, TX (23rd)
Bonior, David E., MI (10th)
Bono, Mary, CA (44th)
Borski, Robert A., PA (3rd)
Boswell, Leonard L., IA (3rd)
Boucher, Rick, VA (9th)
Boyd, Allen, FL (2nd)
Brady, Kevin, TX (8th)
Brady, Robert A., PA (1st)
Brown, Corrine, FL (3rd)
[Brown, George E., Jr.], CA (42nd)
Brown, Sherrod, OH (13th)
Bryant, Ed, TN (7th)
Burr, Richard M., NC (5th)
Burton, Dan, IN (6th)
Buyer, Steve, IN (5th)
Callahan, Sonny, AL (1st)
Calvert, Ken, CA (43rd)
Camp, Dave, MI (4th)
Campbell, Tom, CA (15th)
Canady, Charles T., FL (12th)
Cannon, Christopher B., UT (3rd)
Capps, Lois, CA (22nd)
Capuano, Michael E., MA (8th)
Cardin, Benjamin L., MD (3rd)
Carson, Julia M., IN (10th)
Castle, Michael N., DE (At Large)
Chabot, Steve, OH (1st)
Chambliss, Saxby, GA (8th)
Chenoweth, Helen, ID (1st)
Clay, William (Bill), MO (1st)
Clayton, Eva, NC (1st)
Clement, Bob, TN (5th)
Clyburn, James E., SC (6th)
Coble, Howard, NC (6th)
Coburn, Thomas A., OK (2nd)
Collins, Mac, GA (3rd)
Combest, Larry, TX (19th)
Condit, Gary A., CA (18th)
Conyers, John, Jr., MI (14th)
Cook, Merrill, UT (2nd)
Cooksey, John, LA (5th)
Costello, Jerry F., IL (12th)
Cox, Christopher, CA (47th)
Coyne, William J., PA (14th)
Cramer, Bud, AL (5th)
Crane, Philip M., IL (8th)
Crowley, Joseph, NY (7th)
Cubin, Barbara, WY (At Large)
Cummings, Elijah E., MD (7th)
Cunningham, Randy (Duke), CA (51st)
Danner, Pat, MO (6th)
Davis, Danny K., IL (7th)
Davis, Jim, FL (11th)
Davis, Thomas M., III, VA (11th)
Deal, Nathan, GA (9th)
DeFazio, Peter A., OR (4th)
DeGette, Diana, CO (1st)
Delahunt, William D., MA (10th)
DeLauro, Rosa L., CT (3rd)
DeLay, Tom, TX (22nd)
DeMint, Jim, SC (4th)
Deutsch, Peter, FL (20th)
Diaz-Balart, Lincoln, FL (21st)
Dickey, Jay, AR (4th)
Dicks, Norman D., WA (6th)
Dingell, John D., MI (16th)
Dixon, Julian C., CA (32nd)
Doggett, Lloyd, TX (10th)
Dooley, Calvin M., CA (20th)
Doolittle, John T., CA (4th)

[[Page 322]]


Doyle, Michael F., PA (18th)
Dreier, David, CA (28th)
Duncan, John J., Jr., TN (2nd)
Dunn, Jennifer, WA (8th)
Edwards, Chet, TX (11th)
Ehlers, Vernon, MI (3rd)
Ehrlich, Robert, Jr., MD (2nd)
Emerson, Jo Ann, MO (8th)
Engel, Eliot L., NY (17th)
English, Phil, PA (21st)
Eshoo, Anna G., CA (14th)
Etheridge, Bob, NC (2nd)
Evans, Lane, IL (17th)
Everett, Terry, AL (2nd)
Ewing, Thomas W., IL (15th)
Farr, Sam, CA (17th)
Fattah, Chaka, PA (2nd)
Filner, Bob, CA (50th)
Fletcher, Ernest L., KY (6th)
Foley, Mark, FL (16th)
Forbes, Michael P., NY (1st)
Ford, Harold E., Jr., TN (9th)
Fossella, Vito, NY (13th)
Fowler, Tillie K., FL (4th)
Frank, Barney, MA (4th)
Franks, Bob, NJ (7th)
Frelinghuysen, Rodney P., NJ (11th)
Frost, Martin, TX (24th)
Gallegly, Elton, CA (23rd)
Ganske, Greg, IA (4th)
Gejdenson, Sam, CT (2nd)
Gekas, George W., PA (17th)
Gephardt, Richard A., MO (3rd)
Gibbons, Jim, NV (2nd)
Gilchrest, Wayne T., MD (1st)
Gillmor, Paul E., OH (5th)
Gilman, Benjamin A., NY (20th)
Gonzalez, Charles A., TX (20th)
Goode, Virgil H., Jr., VA (5th)
Goodlatte, Robert W. (Bob), VA (6th)
Goodling, William F., PA (19th)
Gordon, Bart, TN (6th)
Goss, Porter J., FL (14th)
Graham, Lindsey, SC (3rd)
Granger, Kay, TX (12th)
Green, Gene, TX (29th)
Green, Mark, WI (8th)
Greenwood, James C., PA (8th)
Gutierrez, Luis V., IL (4th)
Gutknecht, Gil, MN (1st)
Hall, Ralph M., TX (4th)
Hall, Tony P., OH (3rd)
Hansen, James V., UT (1st)
Hastert, J. Dennis, IL (14th)
Hastings, Alcee L., FL (23d)
Hastings, Doc, WA (4th)
Hayes, Robin, NC (8th)
Hayworth, J.D., AZ (6th)
Hefley, Joel, CO (5th)
Herger, Wally, CA (2nd)
Hill, Baron P., IN (9th)
Hill, Rick, MT (At Large)
Hilleary, Van, TN (4th)
Hilliard, Earl F., AL (7th)
Hinchey, Maurice D., NY (26th)
Hinojosa, Ruben, TX (15th)
Hobson, David L., OH (7th)
Hoeffel, Joseph M., PA (13th)
Hoekstra, Peter, MI (2nd)
Holden, Tim, PA (6th)
Holt, Rush D., NJ (12th)
Hooley, Darlene, OR (5th)
Horn, Steve, CA (38th)
Hostettler, John, IN (8th)
Houghton, Amo, NY (31st)
Hoyer, Steny H., MD (5th)
Hulshof, Kenny, MO (9th)
Hunter, Duncan, CA (52nd)
Hutchinson, Asa, AR (3rd)
Hyde, Henry J., IL (6th)
Inslee, Jay, WA (1st)
Isakson, Johnny, GA (6th)
Istook, Ernest J., Jr., OK (5th)
Jackson, Jesse L., Jr., IL (2nd)
