

Congressional Directory for the 107th Congress (2001-2002), December 2001. - 


Congressional Directory for the 107th Congress (2001-2002), December 2001.
[Page 313]
[From the U.S. Government Publishing Office, www.gpo.gov]


                            ALPHABETICAL LIST

                                SENATORS

Alphabetical list of Senators, Representatives, Delegates, and Resident 
   Commissioner. Democrats in italic (50); Republicans in roman (49); 
                     Independent in Small Caps (1).

Akaka, Daniel K., HI (D)
Allard, Wayne, CO (R)
Allen, George, VA (R)
Baucus, Max, MT (D)
Bayh, Evan, IN (D)
Bennett, Robert F., UT (R)
Biden, Joseph R., Jr., DE (D)
Bingaman, Jeff, NM (D)
Bond, Christopher S., MO (R)
Boxer, Barbara, CA (D)
Breaux, John B., LA (D)
Brownback, Samuel Dale, KS (R)
Bunning, Jim, KY (R)
Burns, Conrad R., MT (R)
Byrd, Robert C., WV (D)
Campbell, Ben Nighthorse, CO (R)
Cantwell, Maria, WA (D)
Carnahan, Jean, MO (D)
Carper, Thomas, DE (D)
Chafee, Lincoln D., RI (R)
Cleland, Max, GA (D)
Clinton, Hillary Rodham, NY (D)
Cochran, Thad, MS (R)
Collins, Susan, ME (R)
Conrad, Kent, ND (D)
Corzine, Jon S., NJ (D)
Craig, Larry E., ID (R)
Crapo, Michael D., ID (R)
Daschle, Thomas A., SD (D)
Dayton, Mark, MN (D)
DeWine, Mike, OH (R)
Dodd, Christopher J., CT (D)
Domenici, Pete V., NM (R)
Dorgan, Byron L., ND (D)
Durbin, Richard J., IL (D)
Edwards, John, NC (D)
Ensign, John, NV (R)
Enzi, Michael B., WY (R)
Feingold, Russell D., WI (D)
Feinstein, Dianne, CA (D)
Fitzgerald, Peter G., IL (R)
Frist, Bill, TN (R)
Graham, Bob, FL (D)
Gramm, Phil, TX (R)
Grassley, Charles E., IA (R)
Gregg, Judd, NH (R)
Hagel, Chuck, NE (R)
Harkin, Tom, IA (D)
Hatch, Orrin G., UT (R)
Helms, Jesse, NC (R)
Hollings, Ernest F., SC (D)
Hutchinson, Tim, AR (R)
Hutchison, Kay Bailey, TX (R)
Inhofe, James M., OK (R)
Inouye, Daniel K., HI (D)
Jeffords, James M., VT (I)
Johnson, Tim, SD (D)
Kennedy, Edward M., MA (D)
Kerry, John F., MA (D)
Kohl, Herb, WI (D)
Kyl, Jon, AZ (R)
Landrieu, Mary, LA (D)
Leahy, Patrick J., VT (D)
Levin, Carl, MI (D)
Lieberman, Joseph I., CT (D)
Lincoln, Blanche L., AR (D)
Lott, Trent, MS (R)
Lugar, Richard G., IN (R)
McCain, John, AZ (R)
McConnell, Mitch, KY (R)
Mikulski, Barbara A., MD (D)
Miller, Zell, GA (D)
Murkowski, Frank H., AK (R)
Murray, Patty, WA (D)
Nelson, Ben, NE (D)
Nelson, Bill, FL (D)
Nickles, Don, OK (R)
Reed, Jack, RI (D)
Reid, Harry, NV (D)
Roberts, Pat, KS (R)
Rockefeller, John D., IV, WV (D)
Santorum, Rick, PA (R)
Sarbanes, Paul S., MD (D)
Schumer, Charles E., NY (D)
Sessions, Jeff, AL (R)
Shelby, Richard C., AL (R)
Smith, Bob, NH (R)
Smith, Gordon, OR (R)
Snowe, Olympia J., ME (R)
Specter, Arlen, PA (R)
Stabenow, Debbie, MI (D)
Stevens, Ted, AK (R)
Thomas, Craig, WY (R)
Thompson, Fred, TN (R)
Thurmond, Strom, SC (R)
Torricelli, Robert G., NJ (D)
Voinovich, George V., OH (R)
Warner, John W., VA (R)
Wellstone, Paul David, MN (D)
Wyden, Ron, OR (D)



