

Congressional Directory for the 107th Congress (2001-2002), October 2002. - 


Congressional Directory for the 107th Congress (2001-2002), October 2002.
[Page 313]
[From the U.S. Government Publishing Office, www.gpo.gov]


                            ALPHABETICAL LIST

                                SENATORS

Alphabetical list of Senators, Representatives, Delegates, and Resident 
   Commissioner. Democrats in italic (50); Republicans in roman (49); 
                     Independent in Small Caps (1).

Akaka, Daniel K., HI
Allard, Wayne, CO
Allen, George, VA
Baucus, Max, MT
Bayh, Evan, IN
Bennett, Robert F., UT
Biden, Joseph R., Jr., DE
Bingaman, Jeff, NM
Bond, Christopher S., MO
Boxer, Barbara, CA
Breaux, John B., LA
Brownback, Samuel Dale, KS
Bunning, Jim, KY
Burns, Conrad R., MT
Byrd, Robert C., WV
Campbell, Ben Nighthorse, CO
Cantwell, Maria, WA
Carnahan, Jean, MO
Carper, Thomas, DE
Chafee, Lincoln D., RI
Cleland, Max, GA
Clinton, Hillary Rodham, NY
Cochran, Thad, MS
Collins, Susan, ME
Conrad, Kent, ND
Corzine, Jon S., NJ
Craig, Larry E., ID
Crapo, Michael D., ID
Daschle, Thomas A., SD
Dayton, Mark, MN
DeWine, Mike, OH
Dodd, Christopher J., CT
Domenici, Pete V., NM
Dorgan, Byron L., ND
Durbin, Richard J., IL
Edwards, John, NC
Ensign, John, NV
Enzi, Michael B., WY
Feingold, Russell D., WI
Feinstein, Dianne, CA
Fitzgerald, Peter G., IL
Frist, Bill, TN
Graham, Bob, FL
Gramm, Phil, TX
Grassley, Charles E., IA
Gregg, Judd, NH
Hagel, Chuck, NE
Harkin, Tom, IA
Hatch, Orrin G., UT
Helms, Jesse, NC
Hollings, Ernest F., SC
Hutchinson, Tim, AR
Hutchison, Kay Bailey, TX
Inhofe, James M., OK
Inouye, Daniel K., HI
Jeffords, James M., VT
Johnson, Tim, SD
Kennedy, Edward M., MA
Kerry, John F., MA
Kohl, Herb, WI
Kyl, Jon, AZ
Landrieu, Mary, LA
Leahy, Patrick J., VT
Levin, Carl, MI
Lieberman, Joseph I., CT
Lincoln, Blanche L., AR
Lott, Trent, MS
Lugar, Richard G., IN
McCain, John, AZ
McConnell, Mitch, KY
Mikulski, Barbara A., MD
Miller, Zell, GA
Murkowski, Frank H., AK
Murray, Patty, WA
Nelson, Ben, NE
Nelson, Bill, FL
Nickles, Don, OK
Reed, Jack, RI
Reid, Harry, NV
Roberts, Pat, KS
Rockefeller, John D., IV, WV
Santorum, Rick, PA
Sarbanes, Paul S., MD
Schumer, Charles E., NY
Sessions, Jeff, AL
Shelby, Richard C., AL
Smith, Bob, NH
Smith, Gordon, OR
Snowe, Olympia J., ME
Specter, Arlen, PA
Stabenow, Debbie, MI
Stevens, Ted, AK
Thomas, Craig, WY
Thompson, Fred, TN
Thurmond, Strom, SC
Torricelli, Robert G., NJ
Voinovich, George V., OH
Warner, John W., VA
Wellstone, Paul David, MN
Wyden, Ron, OR


