

Congressional Directory for the 108th Congress (2003-2004), November 2003. - 


Congressional Directory for the 108th Congress (2003-2004), November 2003.
[Page 307]
[From the U.S. Government Publishing Office, www.gpo.gov]


                            ALPHABETICAL LIST
                                SENATORS

Alphabetical list of Senators, Representatives, Delegates, and Resident 
   Commissioner. Republicans in roman (51); Democrats in italic (48); 
                     Independent in Small Caps (1).

Akaka, Daniel K., HI
Alexander, Lamar, TN
Allard, Wayne, CO
Allen, George, VA
Baucus, Max, MT
Bayh, Evan, IN
Bennett, Robert F., UT
Biden, Joseph R., Jr., DE
Bingaman, Jeff, NM
Bond, Christopher S., MO
Boxer, Barbara, CA
Breaux, John B., LA
Brownback, Sam, KS
Bunning, Jim, KY
Burns, Conrad R., MT
Byrd, Robert C., WV
Campbell, Ben Nighthorse, CO
Cantwell, Maria, WA
Carper, Thomas R., DE
Chafee, Lincoln D., RI
Chambliss, Saxby, GA
Clinton, Hillary Rodham, NY
Cochran, Thad, MS
Coleman, Norm, MN
Collins, Susan M., ME
Conrad, Kent, ND
Cornyn, John, TX
Corzine, Jon S., NJ
Craig, Larry E., ID
Crapo, Michael D., ID
Daschle, Thomas A., SD
Dayton, Mark, MN
DeWine, Mike, OH
Dodd, Christopher J., CT
Dole, Elizabeth H., NC
Domenici, Pete V., NM
Dorgan, Byron L., ND
Durbin, Richard J., IL
Edwards, John, NC
Ensign, John, NV
Enzi, Michael B., WY
Feingold, Russell D., WI
Feinstein, Dianne, CA
Fitzgerald, Peter G., IL
Frist, Bill, TN
Graham, Bob, FL
Graham, Lindsey O., SC
Grassley, Charles E., IA
Gregg, Judd, NH
Hagel, Chuck, NE
Harkin, Tom, IA
Hatch, Orrin G., UT
Hollings, Ernest F., SC
Hutchison, Kay Bailey, TX
Inhofe, James M., OK
Inouye, Daniel K., HI
Jeffords, James M., VT
Johnson, Tim, SD
Kennedy, Edward M., MA
Kerry, John F., MA
Kohl, Herb, WI
Kyl, Jon, AZ
Landrieu, Mary L., LA
Lautenberg, Frank, NJ
Leahy, Patrick J., VT
Levin, Carl, MI
Lieberman, Joseph I., CT
Lincoln, Blanche L., AR
Lott, Trent, MS
Lugar, Richard G., IN
McCain, John, AZ
McConnell, Mitch, KY
Mikulski, Barbara A., MD
Miller, Zell, GA
Murkowski, Lisa, AK
Murray, Patty, WA
Nelson, Ben, NE
Nelson, Bill, FL
Nickles, Don, OK
Pryor, Mark, AR
Reed, Jack, RI
Reid, Harry, NV
Roberts, Pat, KS
Rockefeller, John D., IV, WV
Santorum, Rick, PA
Sarbanes, Paul S., MD
Schumer, Charles E., NY
Sessions, Jeff, AL
Shelby, Richard C., AL
Smith, Gordon, OR
Snowe, Olympia J., ME
Specter, Arlen, PA
Stabenow, Deborah Ann, MI
Stevens, Ted, AK
Sununu, John E., NH
Talent, James M., MO
Thomas, Craig, WY
Voinovich, George V., OH
Warner, John W., VA
Wyden, Ron, OR


