

Congressional Directory for the 108th Congress (2003-2004), January 2004. - 


Congressional Directory for the 108th Congress (2003-2004), January 2004.
[Pages 309-312]
[From the U.S. Government Publishing Office, www.gpo.gov]


                             REPRESENTATIVES

 Republicans in roman (228); Democrats in italic (204); Independents in 
  Small Caps (1); Resident Commissioner and Delegates in boldface (5); 
                         Vacant (2); total 440.

Abercrombie, Neil, HI (1st)
Ackerman, Gary L., NY (5th)
Aderholt, Robert B., AL (4th)
Akin, W. Todd, MO (2nd)
Alexander, Rodney, LA (5th)
Allen, Thomas H., ME (1st)
Andrews, Robert E., NJ (1st)
Baca, Joe, CA (43rd)
Bachus, Spencer, AL (6th)
Baird, Brian, WA (3rd)
Baker, Richard H., LA (6th)
Baldwin, Tammy, WI (2nd)
Ballance, Frank W., Jr., NC (1st)
Ballenger, Cass, NC (10th)
Barrett, J. Gresham, SC (3rd)
Bartlett, Roscoe G., MD (6th)
Barton, Joe, TX (6th)
Bass, Charles F., NH (2nd)
Beauprez, Bob, CO (7th)
Becerra, Xavier, CA (31st)
Bell, Chris, TX (25th)
Bereuter, Doug, NE (1st)
Berkley, Shelley, NV (1st)
Berman, Howard L., CA (28th)
Berry, Marion, AR (1st)
Biggert, Judy, IL (13th)
Bilirakis, Michael, FL (9th)
Bishop, Rob, UT (1st)
Bishop, Sanford D., Jr., GA (2nd)
Bishop, Timothy H., NY (1st)
Blackburn, Marsha, TN (7th)
Blumenauer, Earl, OR (3rd)
Blunt, Roy, MO (7th)
Boehlert, Sherwood, NY (24th)
Boehner, John A., OH (8th)
Bonilla, Henry, TX (23rd)
Bonner, Jo, AL (1st)
Bono, Mary, CA (45th)
Boozman, John, AR (3rd)
Boswell, Leonard L., IA (3rd)
Boucher, Rick, VA (9th)
Boyd, Allen, FL (2nd)
Bradley, Jeb, NH (1st)
Brady, Kevin, TX (8th)
Brady, Robert A., PA (1st)
Brown, Corrine, FL (3rd)
Brown, Henry E., Jr., SC (1st)
Brown, Sherrod, OH (13th)
Brown-Waite, Ginny, FL (5th)
Burgess, Michael C., TX (26th)
Burns, Max, GA (12th)
Burr, Richard M., NC (5th)
Burton, Dan, IN (5th)
Buyer, Steve, IN (4th)
Calvert, Ken, CA (44th)
Camp, Dave, MI (4th)
Cannon, Christopher B., UT (3rd)
Cantor, Eric, VA (7th)
Capito, Shelley Moore, WV (2nd)
Capps, Lois, CA (23rd)
Capuano, Michael E., MA (8th)
Cardin, Benjamin L., MD (3rd)
Cardoza, Dennis A., CA (18th)
Carson, Brad, OK (2nd)
Carson, Julia M., IN (7th)
Carter, John R., TX (31st)
Case, Ed, HI (2nd)
Castle, Michael N., DE (At Large)
Chabot, Steve, OH (1st)
Chocola, Chris, IN (2nd)
Clay, Wm. Lacy, MO (1st)
Clyburn, James E., SC (6th)
Coble, Howard, NC (6th)
Cole, Tom, OK (4th)
Collins, Mac, GA (8th)
Conyers, John, Jr., MI (14th)
Cooper, Jim, TN (5th)
Costello, Jerry F., IL (12th)
Cox, Christopher, CA (48th)
Cramer, Robert E. (Bud), Jr., AL (5th)
Crane, Philip M., IL (8th)
Crenshaw, Ander, FL (4th)
Crowley, Joseph, NY (7th)
Cubin, Barbara, WY (At Large)
Culberson, John Abney, TX (7th)
Cummings, Elijah E., MD (7th)
Cunningham, Randy (Duke), CA (50th)
Davis, Artur, AL (7th)
Davis, Danny K., IL (7th)
Davis, Jim, FL (11th)
Davis, Jo Ann, VA (1st)
Davis, Lincoln, TN (4th)
Davis, Susan A., CA (53rd)
Davis, Tom, VA (11th)
Deal, Nathan, GA (10th)
DeFazio, Peter A., OR (4th)
DeGette, Diana, CO (1st)
Delahunt, William D., MA (10th)
DeLauro, Rosa L., CT (3rd)
DeLay, Tom, TX (22nd)
DeMint, Jim, SC (4th)
Deutsch, Peter, FL (20th)
Diaz-Balart, Lincoln, FL (21st)
Diaz-Balart, Mario FL (25th)
Dicks, Norman D., WA (6th)
Dingell, John D., MI (15th)

[[Page 310]]


