

Congressional Directory for the 110th Congress (2007-2008), August 2007. - 


Congressional Directory for the 110th Congress (2007-2008), August 2007.
[Page 305]
[From the U.S. Government Publishing Office, www.gpo.gov]


                            ALPHABETICAL LIST

                                SENATORS

Alphabetical list of Senators, Representatives, Delegates, and Resident 
   Commissioner. Democrats in roman (49); Republicans in italic (49); 
Independent in Small Caps (1); Independent Democrat in Small Caps Italic 
                                  (1).

Akaka, Daniel K., HI
Alexander, Lamar,  TN
Allard, Wayne,  CO
Barrasso, John, WY
Baucus, Max, MT
Bayh, Evan, IN
Bennett, Robert F.,  UT
Biden, Joseph R., Jr., DE
Bingaman, Jeff, NM
Bond, Christopher S.,  MO
Boxer, Barbara, CA
Brown, Sherrod, OH
Brownback, Sam,  KS
Bunning, Jim,  KY
Burr, Richard,  NC
Byrd, Robert C., WV
Cantwell, Maria, WA
Cardin, Benjamin L., MD
Carper, Thomas R., DE
Casey, Robert P., Jr. PA
Chambliss, Saxby,  GA
Clinton, Hillary Rodham, NY
Coburn, Tom, OK
Cochran, Thad,  MS
Coleman, Norm,  MN
Collins, Susan M.,  ME
Conrad, Kent, ND
Corker, Bob, TN
Cornyn, John,  TX
Craig, Larry E.,  ID
Crapo, Mike,  ID
DeMint, Jim,  SC
Dodd, Christopher J., CT
Dole, Elizabeth,  NC
Domenici, Pete V.,  NM
Dorgan, Byron L., ND
Durbin, Richard, IL
Ensign, John,  NV
Enzi, Michael B.,  WY
Feingold, Russell D., WI
Feinstein, Dianne, CA
Graham, Lindsey,  SC
Grassley, Chuck,  IA
Gregg, Judd,  NH
Hagel, Chuck,  NE
Harkin, Tom, IA
Hatch, Orrin G.,  UT
Hutchison, Kay Bailey, TX
Inhofe, James M.,  OK
Inouye, Daniel K., HI
Isakson, Johnny,  GA
Johnson, Tim, SD
Kennedy, Edward M., MA
Kerry, John F., MA
Klobuchar, Amy, MN
Kohl, Herb, WI
Kyl, Jon,  AZ
Landrieu, Mary L., LA
Lautenberg, Frank R., NJ
Leahy, Patrick J., VT
Levin, Carl, MI
Lieberman, Joseph I., CT
Lincoln, Blanche L., AR
Lott, Trent,  MS
Lugar, Richard G., IN
McCain, John,  AZ
McCaskill, Claire, MO
McConnell, Mitch,  KY
Martinez, Mel,  FL
Menendez, Robert, NJ
Mikulski, Barbara A., MD
Murkowski, Lisa,  AK
Murray, Patty, WA
Nelson, Bill, FL
Nelson, E. Benjamin, NE
Obama, Barack, IL
Pryor, Mark L., AR
Reed, Jack, RI
Reid, Harry, NV
Roberts, Pat,  KS
Rockefeller, John D., IV, WV
Salazar, Ken, CO
Sanders, Bernard, VT
Schumer, Charles E., NY
Sessions, Jeff,  AL
Shelby, Richard C.,  AL
Smith, Gordon H.,  OR
Snowe, Olympia J.,  ME
Specter, Arlen,  PA
Stabenow, Debbie, MI
Stevens, Ted,  AK
Sununu, John E.,  NH
Tester, Jon, MT
Thune, John,  SD
Vitter, David,  LA
Voinovich, George V.,  OH
Warner, John,  VA
Webb, Jim, VA
Whitehouse, Sheldon, RI
Wyden, Ron, OR


