

Congressional Directory for the 111th Congress (2009-2010), December 2009. - 


Congressional Directory for the 111th Congress (2009-2010), December 2009.
[Page 309]
[From the U.S. Government Publishing Office, www.gpo.gov]


                            ALPHABETICAL LIST

                                SENATORS

Alphabetical list of Senators, Representatives, Delegates, and Resident 
   Commissioner. Democrats in roman (58); Republicans in italic (40); 
Independent in Small Caps (1); Independent Democrat in Small Caps Italic 
                                  (1).

Akaka, Daniel K., HI
Alexander, Lamar, TN
Barrasso, John,WY
Baucus, Max, MT
Bayh, Evan, IN
Begich, Mark, AK
Bennet, Michael F., CO
Bennett, Robert F., UT
Bingaman, Jeff, NM
Bond, Christopher S., MO
Boxer, Barbara, CA
Brown, Sherrod, OH
Brownback, Sam, KS
Bunning, Jim, KY
Burr, Richard, NC
Burris, Roland W., IL
Byrd, Robert C., WV
Cantwell, Maria, WA
Cardin, Benjamin L., MD
Carper, Thomas R., DE
Casey, Robert P., Jr., PA
Chambliss, Saxby, GA
Coburn, Tom, OK
Cochran, Thad, MS
Collins, Susan M., ME
Conrad, Kent, ND
Corker, Bob, TN
Cornyn, John, TX
Crapo, Mike, ID
DeMint, Jim, SC
Dodd, Christopher J., CT
Dorgan, Byron L., ND
Durbin, Richard, IL
Ensign, John, NV
Enzi, Michael B., WY
Feingold, Russell D., WI
Feinstein, Dianne, CA
Franken, Al, MN
Gillibrand, Kirsten E., NY
Graham, Lindsey, SC
Grassley, Chuck, IA
Gregg, Judd, NH
Hagan, Kay R., NC
Harkin, Tom, IA
Hatch, Orrin G., UT
Hutchison, Kay Bailey, TX
Inhofe, James M., OK
Inouye, Daniel K., HI
Isakson, Johnny, GA
Johanns, Mike, NE
Johnson, Tim, SD
Kaufman, Edward E., DE
Kerry, John F., MA
Kirk, Paul G., Jr., MA
Klobuchar, Amy, MN
Kohl, Herb, WI
Kyl, Jon,  AZ
Landrieu, Mary L., LA
Lautenberg, Frank R., NJ
Leahy, Patrick J., VT
LeMieux, George S., FL
Levin, Carl, MI
Lieberman, Joseph I., CT
Lincoln, Blanche L., AR
Lugar, Richard G., IN
McCain, John,  AZ
McCaskill, Claire, MO
McConnell, Mitch,  KY
Menendez, Robert, NJ
Mikulski, Barbara A., MD
Murkowski, Lisa,  AK
Murray, Patty, WA
Nelson, Ben, NE
Nelson, Bill, FL
Pryor, Mark L., AR
Reed, Jack, RI
Reid, Harry, NV
Risch, James E., ID
Roberts, Pat,  KS
Rockefeller, John D., IV, WV
Sanders, Bernard, VT
Schumer, Charles E., NY
Sessions, Jeff,  AL
Shaheen, Jeanne, NH
Shelby, Richard C.,  AL
Snowe, Olympia J.,  ME
Specter, Arlen, PA
Stabenow, Debbie, MI
Tester, Jon, MT
Thune, John,  SD
Udall, Mark, CO
Udall, Tom, NM
Vitter, David,  LA
Voinovich, George V.,  OH
Warner, Mark R., VA
Webb, Jim, VA
Whitehouse, Sheldon, RI
Wicker, Roger F., MS
Wyden, Ron, OR


