

Congressional Directory for the 111th Congress (2009-2010), December 2009. - 


Congressional Directory for the 111th Congress (2009-2010), December 2009.
[Pages 310-313]
[From the U.S. Government Publishing Office, www.gpo.gov]


          REPRESENTATIVES, RESIDENT COMMISSIONER, AND DELEGATES

 Democrats in roman (256); Republicans in italic (177); Vacancies (2); 
    Resident Commissioner and Delegates in boldface (6); total, 441.

Abercrombie, Neil, HI (1st)
Ackerman, Gary L., NY (5th)
Aderholt, Robert B., AL (4th)
Adler, John H., NJ (3d)
Akin, W. Todd, MO (2d)
Alexander, Rodney, LA (5th)
Altmire, Jason, PA (4th)
Andrews, Robert E., NJ (1st)
Arcuri, Michael A., NY (24th)
Austria, Steve, OH (7th)
Baca, Joe, CA (43d)
Bachmann, Michele, MN (6th)
Bachus, Spencer, AL (6th)
Baird, Brian, WA (3d)
Baldwin, Tammy, WI (2d)
Barrett, J. Gresham, SC (3d)
Barrow, John, GA (12th)
Bartlett, Roscoe G., MD (6th)
Barton, Joe, TX (6th)
Bean, Melissa L., IL (8th)
Becerra, Xavier, CA (31st)
Berkley, Shelley, NV (1st)
Berman, Howard L., CA (28th)
Berry, Marion, AR (1st)
Biggert, Judy, IL (13th)
Bilbray, Brian P., CA (50th)
Bilirakis, Gus M., FL (9th)
Bishop, Rob, UT (1st)
Bishop, Sanford D., Jr., GA (2d)
Bishop, Timothy H., NY (1st)
Blackburn, Marsha, TN (7th)
Blumenauer, Earl, OR (3d)
Blunt, Roy, MO (7th)
Boccieri, John A., OH (16th)
Boehner, John A., OH (8th)
Bonner, Jo, AL (1st)
Bono Mack, Mary, CA (45th)
Boozman, John, AR (3d)
Boren, Dan, OK (2d)
Boswell, Leonard L., IA (3d)
Boucher, Rick, VA (9th)
Boustany, Charles W., Jr., LA (7th)
Boyd, Allen, FL (2d)
Brady, Kevin, TX (8th)
Brady, Robert A., PA (1st)
Braley, Bruce L., IA (1st)
Bright, Bobby, AL (2d)
Broun, Paul C., GA (10th)
Brown, Corrine, FL (3d)
Brown, Henry E., Jr., SC (1st)
Brown-Waite, Ginny, FL (5th)
Buchanan, Vern, FL (13th)
Burgess, Michael C., TX (26th)
Burton, Dan, IN (5th)
Butterfield, G. K., NC (1st)
Buyer, Steve, IN (4th)
Calvert, Ken, CA (44th)
Camp, Dave, MI (4th)
Campbell, John, CA (48th)
Cantor, Eric, VA (7th)
Cao, Anh ``Joseph'', LA (2d)
Capito, Shelley Moore, WV (2d)
Capps, Lois, CA (23d)
Capuano, Michael E., MA (8th)
Cardoza, Dennis A., CA (18th)
Carnahan, Russ, MO (3d)
Carney, Christopher P., PA (10th)
Carson, Andre, IN (7th)
Carter, John R., TX (31st)
Cassidy, Bill, LA (6th)
Castle, Michael N., DE (At Large)
Castor, Kathy, FL (11th)
Chaffetz, Jason, UT (3d)
Chandler, Ben, KY (6th)
Childers, Travis W., MS (1st)
Chu, Judy, CA (32d)
Clarke, Yvette D., NY (11th)
Clay, Wm. Lacy, MO (1st)
Cleaver, Emanuel, MO (5th)
Clyburn, James E., SC (6th)
Coble, Howard, NC (6th)
Coffman, Mike, CO (6th)
Cohen, Steve, TN (9th)
Cole, Tom, OK (4th)
Conaway, K. Michael, TX (11th)
Connolly, Gerald E., VA (11th)
Conyers, John, Jr., MI (14th)
Cooper, Jim, TN (5th)
Costa, Jim, CA (20th)
Costello, Jerry F., IL (12th)
Courtney, Joe, CT (2d)
Crenshaw, Ander, FL (4th)
Crowley, Joseph, NY (7th)
Cuellar, Henry, TX (28th)
Culberson, John Abney, TX (7th)
Cummings, Elijah E., MD (7th)
Dahlkemper, Kathleen A., PA (3d)
Davis, Artur, AL (7th)
Davis, Danny K., IL (7th)
Davis, Geoff, KY (4th)
Davis, Lincoln, TN (4th)
Davis, Susan A., CA (53d)
Deal, Nathan, GA (9th)
DeFazio, Peter A., OR (4th)
DeGette, Diana, CO (1st)
Delahunt, Bill, MA (10th)
DeLauro, Rosa L., CT (3d)
Dent, Charles W., PA (15th)
Diaz-Balart, Lincoln, FL (21st)
Diaz-Balart, Mario, FL (25th)
Dicks, Norman D., WA (6th)
Dingell, John D., MI (15th)
Doggett, Lloyd, TX (25th)
Donnelly, Joe, IN (2d)
Doyle, Michael F., PA (14th)
Dreier, David, CA (26th)
Driehaus, Steve, OH (1st)
Duncan, John J., Jr., TN (2d)

[[Page 311]]


Edwards, Chet, TX (17th)
Edwards, Donna F., MD (4th)
Ehlers, Vernon J., MI (3d)
Ellison, Keith, MN (5th)
Ellsworth, Brad, IN (8th)
Emerson, Jo Ann, MO (8th)
Engel, Eliot L., NY (17th)
Eshoo, Anna G., CA (14th)
Etheridge, Bob, NC (2d)
Fallin, Mary, OK (5th)
Farr, Sam, CA (17th)
Fattah, Chaka, PA (2d)
Filner, Bob, CA (51st)
Flake, Jeff, AZ (6th)
Fleming, John, LA (4th)
Forbes, J. Randy, VA (4th)
Fortenberry, Jeff, NE (1st)
Foster, Bill, IL (14th)
Foxx, Virginia, NC (5th)
Frank, Barney, MA (4th)
Franks, Trent, AZ (2d)
Frelinghuysen, Rodney P., NJ (11th)
Fudge, Marcia L., OH (11th)
Gallegly, Elton, CA (24th)
Garrett, Scott, NJ (5th)
Gerlach, Jim, PA (6th)
Giffords, Gabrielle, AZ (8th)
Gingrey, Phil, GA (11th)
Gohmert, Louie, TX (1st)
Gonzalez, Charles A., TX (20th)
Goodlatte, Bob, VA (6th)
Gordon, Bart, TN (6th)
Granger, Kay, TX (12th)
Graves, Sam, MO (6th)
Grayson, Alan, FL (8th)
Green, Al, TX (9th)
Green, Gene, TX (29th)
Griffith, Parker, AL (5th)
Grijalva, Raul M., AZ (7th)
Guthrie, Brett, KY (2d)
Gutierrez, Luis V., IL (4th)
Hall, John J., NY (19th)
Hall, Ralph M., TX (4th)
Halvorson, Deborah L., IL (11th)
Hare, Phil, IL (17th)
Harman, Jane, CA (36th)
Harper, Gregg, MS (3d)
Hastings, Alcee L., FL (23d)
Hastings, Doc, WA (4th)
Heinrich, Martin, NM (1st)
Heller, Dean, NV (2d)
Hensarling, Jeb, TX (5th)
Herger, Wally, CA (2d)
Herseth Sandlin, Stephanie, SD (At Large)
Higgins, Brian, NY (27th)
Hill, Baron P., IN (9th)
Himes, James A., CT (4th)
Hinchey, Maurice D., NY (22d)
Hinojosa, Ruben, TX (15th)
Hirono, Mazie K., HI (2d)
Hodes, Paul W., NH (2d)
Hoekstra, Peter, MI (2d)
Holden, Tim, PA (17th)
Holt, Rush D., NJ (12th)
Honda, Michael M., CA (15th)
Hoyer, Steny H., MD (5th)
Hunter, Duncan, CA (52d)
Inglis, Bob, SC (4th)
Inslee, Jay, WA (1st)
Israel, Steve, NY (2d)
Issa, Darrell E., CA (49th)
Jackson, Jesse L., Jr., IL (2d)
Jackson-Lee, Sheila, TX (18th)
Jenkins, Lynn, KS (2d)
Johnson, Eddie Bernice, TX (30th)
Johnson, Henry C. ``Hank'', Jr., GA (4th)
Johnson, Sam, TX (3d)
Johnson, Timothy V., IL (15th)
Jones, Walter B., NC (3d)
Jordan, Jim, OH (4th)
Kagen, Steve, WI (8th)
Kanjorski, Paul E., PA (11th)
Kaptur, Marcy, OH (9th)
Kennedy, Patrick J., RI (1st)
Kildee, Dale E., MI (5th)
Kilpatrick, Carolyn C., MI (13th)
Kilroy, Mary Jo, OH (15th)
Kind, Ron, WI (3d)
King, Peter T., NY (3d)
King, Steve, IA (5th)
Kingston, Jack, GA (1st)
Kirk, Mark Steven, IL (10th)
Kirkpatrick, Ann, AZ (1st)
Kissell, Larry, NC (8th)
Klein, Ron, FL (22d)
Kline, John, MN (2d)
Kosmas, Suzanne M., FL (24th)
Kratovil, Frank, Jr., MD (1st)
Kucinich, Dennis J., OH (10th)
Lamborn, Doug, CO (5th)
Lance, Leonard, NJ (7th)
Langevin, James R., RI (2d)
Larsen, Rick, WA (2d)
Larson, John B., CT (1st)
Latham, Tom, IA (4th)
LaTourette, Steven C., OH (14th)
Latta, Robert E., OH (5th)
Lee, Barbara, CA (9th)
Lee, Christopher John, NY (26th)
Levin, Sander M., MI (12th)
Lewis, Jerry, CA (41st)
Lewis, John, GA (5th)
Linder, John, GA (7th)
Lipinski, Daniel, IL (3d)
LoBiondo, Frank A., NJ (2d)
Loebsack, David, IA (2d)
Lofgren, Zoe, CA (16th)
Lowey, Nita M., NY (18th)
