

Congressional Directory for the 112th Congress (2011-2012), December 2011. - 


Congressional Directory for the 112th Congress (2011-2012), December 2011.
[Page 311]
[From the U.S. Government Publishing Office, www.gpo.gov]


                            ALPHABETICAL LIST OF SENATORS

                                SENATORS

Alphabetical list of Senators, Representatives, Delegates, and Resident 
   Commissioner. Democrats in roman (51); Republicans in italic (47); 
Independent in Small Caps (1); Independent Democrat in Small Caps Italic 
                                  (1).

Akaka, Daniel K., HI
Alexander, Lamar, TN
Ayotte, Kelly, NH
Barrasso, John, WY
Baucus, Max, MT
Begich, Mark, AK
Bennet, Michael F., CO
Bingaman, Jeff, NM
Blumenthal, Richard, CT
Blunt, Roy, MO
Boozman, John, AR
Boxer, Barbara, CA
Brown, Scott P., MA
Brown, Sherrod, OH
Burr, Richard, NC
Cantwell, Maria, WA
Cardin, Benjamin L., MD
Carper, Thomas R., DE
Casey, Robert P., Jr., PA
Chambliss, Saxby, GA
Coats, Daniel, IN
Coburn, Tom, OK
Cochran, Thad, MS
Collins, Susan M., ME
Conrad, Kent, ND
Coons, Christopher A., DE
Corker, Bob, TN
Cornyn, John, TX
Crapo, Mike, ID
DeMint, Jim, SC
Durbin, Richard J., IL
Enzi, Michael B., WY
Feinstein, Dianne, CA
Franken, Al, MN
Gillibrand, Kirsten E., NY
Graham, Lindsey, SC
Grassley, Chuck, IA
Hagan, Kay R., NC
Harkin, Tom, IA
Hatch, Orrin G., UT
Heller, Dean, NV
Hoeven, John, ND
Hutchison, Kay Bailey, TX
Inhofe, James M., OK
Inouye, Daniel K., HI
Isakson, Johnny, GA
Johanns, Mike, NE
Johnson, Ron, WI
Johnson, Tim, SD
Kerry, John F., MA
Kirk, Mark, IL
Klobuchar, Amy, MN
Kohl, Herb, WI
Kyl, Jon, AZ
Landrieu, Mary L., LA
Lautenberg, Frank R., NJ
Leahy, Patrick J., VT
Lee, Mike, UT
Levin, Carl, MI
Lieberman, Joseph I., CT
Lugar, Richard G., IN
McCain, John, AZ
McCaskill, Claire, MO
McConnell, Mitch, KY
Manchin, Joe III, WV
Menendez, Robert, NJ
Merkley, Jeff, OR
Mikulski, Barbara A., MD
Moran, Jerry, KS
Murkowski, Lisa, AK
Murray, Patty, WA
Nelson, Ben, NE
Nelson, Bill, FL
Paul, Rand, KY
Portman, Rob, OH
Pryor, Mark L., AR
Reed, Jack, RI
Reid, Harry, NV
Risch, James E., ID
Roberts, Pat, KS
Rockefeller, John D., IV, WV
Rubio, Marco, FL
Sanders, Bernard,VT
Schumer, Charles E., NY
Sessions, Jeff, AL
Shaheen, Jeanne, NH
Shelby, Richard C., AL
Snowe, Olympia J., ME
Stabenow, Debbie, MI
Tester, Jon, MT
Thune, John, SD
Toomey, Patrick J., PA
Udall, Mark, CO
Udall, Tom, NM
Vitter, David, LA
Warner, Mark R., VA
Webb, Jim, VA
Whitehouse, Sheldon, RI
Wicker, Roger F., MS
Wyden, Ron, OR


