

Congressional Directory for the 113th Congress (2013-2014), February 2014. - 


Congressional Directory for the 113th Congress (2013-2014), February 2014.
[Page 313]
[From the U.S. Government Publishing Office, www.gpo.gov]


                            ALPHABETICAL LIST - SENATORS

Alphabetical list of Senators, Representatives, Delegates, and Resident 
   Commissioner. Democrats in roman (53); Republicans in italic (45); 
                     Independents in Small Caps (2).

Alexander, Lamar, TN
Ayotte, Kelly, NH
Baldwin, Tammy, WI
Barrasso, John, WY
Begich, Mark, AK
Bennet, Michael F., CO
Blumenthal, Richard, CT
Blunt, Roy, MO
Booker, Cory A., NJ
Boozman, John, AR
Boxer, Barbara, CA
Brown, Sherrod, OH
Burr, Richard, NC
Cantwell, Maria, WA
Cardin, Benjamin L., MD
Carper, Thomas R., DE
Casey, Robert P., Jr., PA
Chambliss, Saxby, GA
Coats, Daniel, IN
Coburn, Tom, OK
Cochran, Thad, MS
Collins, Susan M., ME
Coons, Christopher A., DE
Corker, Bob, TN
Cornyn, John, TX
Crapo, Mike, ID
Cruz, Ted, TX
Donnelly, Joe, IN
Durbin, Richard J., IL
Enzi, Michael B., WY
Feinstein, Dianne, CA
Fischer, Deb, NE
Flake, Jeff, AR
Franken, Al, MN
Gillibrand, Kirsten E., NY
Graham, Lindsey, SC
Grassley, Chuck, IA
Hagan, Kay R., NC
Harkin, Tom, IA
Hatch, Orrin G., UT
Heinrich, Martin, NM
Heitkamp, Heidi, ND
Heller, Dean, NV
Hirono, Mazie K., HI
Hoeven, John, ND
Inhofe, James M., OK
Isakson, Johnny, GA
Johanns, Mike, NE
Johnson, Ron, WI
Johnson, Tim, SD
Kaine, Tim, VA
King, Angus S., Jr., ME
Kirk, Mark, IL
Klobuchar, Amy, MN
Landrieu, Mary L., LA
Leahy, Patrick J., VT
Lee, Mike, UT
Levin, Carl, MI
McCain, John, AZ
McCaskill, Claire, MO
McConnell, Mitch, KY
Manchin, Joe III, WV
Markey, Edward J., MA
Menendez, Robert, NJ
Merkley, Jeff, OR
Mikulski, Barbara A., MD
Moran, Jerry, KS
Murkowski, Lisa, AK
Murphy, Christopher, CT
Murray, Patty, WA
Nelson, Bill, FL
Paul, Rand, KY
Portman, Rob, OH
Pryor, Mark L., AR
Reed, Jack, RI
Reid, Harry, NV
Risch, James E., ID
Roberts, Pat, KS
Rockefeller, John D. IV, WV
Rubio, Marco, FL
Sanders, Bernard, VT
Schatz, Brian, HI
Schumer, Charles E., NY
Scott, Tim, SC
Sessions, Jeff, AL
Shaheen, Jeanne, NH
Shelby, Richard C., AL
Stabenow, Debbie, MI
Tester, Jon, MT
Thune, John, SD
Toomey, Patrick J., PA
Udall, Mark, CO
Udall, Tom, NM
Vitter, David, LA
Walsh, John E., MT
Warner, Mark R., VA
Warren, Elizabeth, MA
Whitehouse, Sheldon, RI
Wicker, Roger F., MS
Wyden, Ron, OR



