

Congressional Directory for the 113th Congress (2013-2014), February 2014. - 


Congressional Directory for the 113th Congress (2013-2014), February 2014.
[Pages 314-317]
[From the U.S. Government Publishing Office, www.gpo.gov]


           ALPHABETICAL LIST - REPRESENTATIVES, RESIDENT COMMISSIONER, AND DELEGATES

 Republicans in roman (232); Democrats in italic (199); Vacancies (4); 
 Resident Commissioner and Delegates in boldface italic (6); total, 441.

Aderholt, Robert B., AL (4th)
Amash, Justin, MI (3d)
Amodei, Mark E., NV (2d)
Bachmann, Michele, MN (6th)
Bachus, Spencer, AL (6th)
Barber, Ron, AZ (2d)
Barletta, Lou, PA (11th)
Barr, Andy, KY (6th)
Barrow, John, GA (12th)
Barton, Joe, TX (6th)
Bass, Karen, CA (37th)
Beatty, Joyce, OH (3d)
Becerra, Xavier, CA (34th)
Benishek, Dan, MI (1st)
Bentivolio, Kerry L., MI (11th)
Bera, Ami, CA (7th)
Bilirakis, Gus M., FL (12th)
Bishop, Rob, UT (1st)
Bishop, Sanford D., Jr., GA (2d)
Bishop, Timothy H., NY (1st)
Black, Diane, TN (6th)
Blackburn, Marsha, TN (7th)
Blumenauer, Earl, OR (3d)
Boehner, John A., OH (8th)
Bonamici, Suzanne, OR (1st)
Boustany, Charles W., Jr., LA (3d)
Brady, Kevin, TX (8th)
Brady, Robert A., PA (1st)
Braley, Bruce L., IA (1st)
Bridenstine, Jim, OK (1st)
Brooks, Mo, AL (5th)
Brooks, Susan W., IN (5th)
Broun, Paul C., GA (10th)
Brown, Corrine, FL (5th)
Brownley, Julia, CA (26th)
Buchanan, Vern, FL (16th)
Bucshon, Larry, IN (8th)
Burgess, Michael C., TX (26th)
Bustos, Cheri, IL (17th)
Butterfield, G. K., NC (1st)
Byrne, Bradley, AL (1st)
Calvert, Ken, CA (42d)
Camp, Dave, MI (4th)
Campbell, John, CA (45th)
Cantor, Eric, VA (7th)
Capito, Shelley Moore, WV (2d)
Capps, Lois, CA (24th)
Capuano, Michael E., MA (7th)
Cardenas, Tony, CA (29th)
Carney, John C., Jr., DE (At Large)
Carson, Andre, IN (7th)
Carter, John R., TX (31st)
Cartwright, Matt, PA (17th)
Cassidy, Bill, LA (6th)
Castor, Kathy, FL (14th)
Castro, Joaquin, TX (20th)
Chabot, Steve, OH (1st)
