

Congressional Directory for the 114th Congress (2015-2016), February 2016. - 


Congressional Directory for the 114th Congress (2015-2016), February 2016.
[Pages 316-319]
[From the U.S. Government Publishing Office, www.gpo.gov]


          REPRESENTATIVES, RESIDENT COMMISSIONER, AND DELEGATES

    Republicans in roman (247); Democrats in italic (188); Resident 
         Commissioner and Delegates in boldface (6); total, 441.

Abraham, Ralph Lee, LA (5th)
Adams, Alma S., NC (12th)
Aderholt, Robert B., AL (4th)
Aguilar, Pete, CA (31st)
Allen, Rick W., GA (12th)
Amash, Justin, MI (3d)
Amodei, Mark E., NV (2d)
Ashford, Brad, NE (2d)
Babin, Brian, TX (36th)
Barletta, Lou, PA (11th)
Barr, Andy, KY (6th)
Barton, Joe, TX (6th)
Bass, Karen, CA (37th)
Beatty, Joyce, OH (3d)
Becerra, Xavier, CA (34th)
Benishek, Dan, MI (1st)
Bera, Ami, CA (7th)
Beyer, Donald S., Jr., VA (8th)
Bilirakis, Gus M., FL (12th)
Bishop, Mike, MI (8th)
Bishop, Rob, UT (1st)
Bishop, Sanford D., Jr., GA (2d)
Black, Diane, TN (6th)
Blackburn, Marsha, TN (7th)
Blum, Rod, IA (1st)
Blumenauer, Earl, OR (3d)
Bonamici, Suzanne, OR (1st)
Bost, Mike, IL (12th)
Boustany, Charles W., Jr., LA (3d)
Boyle, Brendan F., PA (13th)
Brady, Kevin, TX (8th)
Brady, Robert A., PA (1st)
Brat, Dave, VA (7th)
Bridenstine, Jim, OK (1st)
Brooks, Mo, AL (5th)
Brooks, Susan W., IN (5th)
Brown, Corrine, FL (5th)
Brownley, Julia, CA (26th)
Buchanan, Vern, FL (16th)
Buck, Ken, CO (4th)
Bucshon, Larry, IN (8th)
Burgess, Michael C., TX (26th)
Bustos, Cheri, IL (17th)
Butterfield, G. K., NC (1st)
Byrne, Bradley, AL (1st)
Calvert, Ken, CA (42d)
Capps, Lois, CA (24th)
Capuano, Michael E., MA (7th)
Cardenas, Tony, CA (29th)
Carney, John C., Jr., DE (At Large)
Carson, Andre, IN (7th)
Carter, Earl L. ``Buddy'', GA (1st)
Carter, John R., TX (31st)
Cartwright, Matt, PA (17th)
Castor, Kathy, FL (14th)
Castro, Joaquin, TX (20th)
Chabot, Steve, OH (1st)
Chaffetz, Jason, UT (3d)
Chu, Judy, CA (27th)
Cicilline, David N., RI (1st)
Clark, Katherine M., MA (5th)
Clarke, Yvette D., NY (9th)
Clawson, Curt, FL (19th)
Clay, Wm. Lacy, MO (1st)
Cleaver, Emanuel, MO (5th)
Clyburn, James E., SC (6th)
Coffman, Mike, CO (6th)
Cohen, Steve, TN (9th)
Cole, Tom, OK (4th)
Collins, Chris, NY (27th)
Collins, Doug, GA (9th)
Comstock, Barbara, VA (10th)
Conaway, K. Michael, TX (11th)
Connolly, Gerald E., VA (11th)
Conyers, John, Jr., MI (13th)
Cook, Paul, CA (8th)
Cooper, Jim, TN (5th)
Costa, Jim, CA (16th)
Costello, Ryan A., PA (6th)
Courtney, Joe, CT (2d)
Cramer, Kevin, ND (At Large)
Crawford, Eric A. ``Rick'', AR (1st)
Crenshaw, Ander, FL (4th)
Crowley, Joseph, NY (14th)
Cuellar, Henry, TX (28th)
Culberson, John Abney, TX (7th)
Cummings, Elijah E., MD (7th)
Curbelo, Carlos, FL (26th)
Davis, Danny K., IL (7th)
Davis, Rodney, IL (13th)
Davis, Susan A., CA (53d)
DeFazio, Peter A., OR (4th)
DeGette, Diana, CO (1st)
Delaney, John K., MD (6th)
DeLauro, Rosa L., CT (3d)
DelBene, Suzan K., WA (1st)
Denham, Jeff, CA (10th)
Dent, Charles W., PA (15th)
DeSantis, Ron, FL (6th)
DeSaulnier, Mark, CA (11th)
DesJarlais, Scott, TN (4th)
Deutch, Theodore E., FL (21st)
Diaz-Balart, Mario, FL (25th)
Dingell, Debbie, MI (12th)
Doggett, Lloyd, TX (35th)
Dold, Robert J., IL (10th)
Donovan, Daniel M., Jr., NY (11th)
Doyle, Michael F., PA (14th)
Duckworth, Tammy, IL (8th)
Duffy, Sean P., WI (7th)
Duncan, Jeff, SC (3d)
Duncan, John J., Jr., TN (2d)
Edwards, Donna F., MD (4th)
Ellison, Keith, MN (5th)
Ellmers, Renee L., NC (2d)
Emmer, Tom, MN (6th)
Engel, Eliot L., NY (16th)
Eshoo, Anna G., CA (18th)

[[Page 317]]


Esty, Elizabeth H., CT (5th)
Farenthold, Blake, TX (27th)
Farr, Sam, CA (20th)
Fattah, Chaka, PA (2d)
Fincher, Stephen Lee, TN (8th)
Fitzpatrick, Michael G., PA (8th)
