

Congressional Directory for the 116th Congress (2019-2020), July 2020. - 


Congressional Directory for the 116th Congress (2019-2020), July 2020.
[Page 321]
[From the U.S. Government Publishing Office, www.gpo.gov]

                         ALPHABETICAL LIST

                             SENATORS

 Alphabetical list of Senators, Representatives, Delegates, and Resident 
   Commissioner. Republicans in roman (53); Democrats in italic (45); 
                     Independents in Small Caps (2).

 Alexander, Lamar, TN
  Baldwin, Tammy, WI
 Barrasso, John, WY
  Bennet, Michael F., CO
 Blackburn, Marsha, TN
  Blumenthal, Richard, CT
 Blunt, Roy, MO
  Booker, Cory A., NJ
 Boozman, John, AR
 Braun, Mike, IN
  Brown, Sherrod, OH
 Burr, Richard, NC
  Cantwell, Maria, WA
 Capito, Shelley Moore, WV
  Cardin, Benjamin L., MD
  Carper, Thomas R., DE
  Casey, Robert P., Jr., PA
 Cassidy, Bill, LA
 Collins, Susan M., ME
  Coons, Christopher A., DE
 Cornyn, John, TX
  Cortez Masto, Catherine, NV
 Cotton, Tom, AR
 Cramer, Kevin, ND
 Crapo, Mike, ID
 Cruz, Ted, TX
 Daines, Steve, MT
  Duckworth, Tammy, IL
  Durbin, Richard J., IL
 Enzi, Michael B., WY
 Ernst, Joni, IA
  Feinstein, Dianne, CA
 Fischer, Deb, NE
 Gardner, Cory, CO
  Gillibrand, Kirsten E., NY
 Graham, Lindsey, SC
 Grassley, Chuck, IA
  Harris, Kamala D., CA
  Hassan, Margaret Wood, NH
 Hawley, Josh, MO
  Heinrich, Martin, NM
  Hirono, Mazie K., HI
 Hoeven, John, ND
 Hyde-Smith, Cindy, MS
 Inhofe, James M., OK
 Johnson, Ron, WI
  Jones, Doug, AL
  Kaine, Tim, VA
 Kennedy, John, LA
 King, Angus S., Jr., ME
  Klobuchar, Amy, MN
 Lankford, James, OK
  Leahy, Patrick J., VT
 Lee, Mike, UT
 Loeffler, Kelly, GA
  Manchin, Joe, III, WV
  Markey, Edward J., MA
 McConnell, Mitch, KY
 McSally, Martha, AZ
  Menendez, Robert, NJ
  Merkley, Jeff, OR
 Moran, Jerry, KS
 Murkowski, Lisa, AK
  Murphy, Christopher, CT
  Murray, Patty, WA
 Paul, Rand, KY
 Perdue, David, GA
  Peters, Gary C., MI
 Portman, Rob, OH
  Reed, Jack, RI
 Risch, James E., ID
 Roberts, Pat, KS
 Romney, Mitt, UT
  Rosen, Jacky, NV
 Rounds, Mike, SD
 Rubio, Marco, FL
 Sanders, Bernard, VT
 Sasse, Ben, NE
  Schatz, Brian, HI
  Schumer, Charles E., NY
 Scott, Rick, FL
 Scott, Tim, SC
  Shaheen, Jeanne, NH
 Shelby, Richard C., AL
  Sinema, Kyrsten, AZ
  Smith, Tina, MN
  Stabenow, Debbie, MI
 Sullivan, Dan, AK
  Tester, Jon, MT
 Thune, John, SD
 Tillis, Thom, NC
 Toomey, Patrick J., PA
  Udall, Tom, NM
  Van Hollen, Chris, MD
  Warner, Mark R., VA
  Warren, Elizabeth, MA
  Whitehouse, Sheldon, RI
 Wicker, Roger F., MS
  Wyden, Ron, OR
 Young, Todd, IN



