

Congressional Directory for the 117th Congress (2021-2022), October 2022. - 


Congressional Directory for the 117th Congress (2021-2022), October 2022.
[Pages 322-325]
[From the U.S. Government Publishing Office, www.gpo.gov]


          REPRESENTATIVES, RESIDENT COMMISSIONER, AND DELEGATES

  Democrats in roman (220); Republicans in italic (212); Vacancies (3); 
    Resident Commissioner and Delegates in boldface (6); total, 441.

 Adams, Alma S., NC (12th)
  Aderholt, Robert B., AL (4th)
 Aguilar, Pete, CA (31st)
  Allen, Rick W., GA (12th)
 Allred, Colin Z., TX (32d)
  Amodei, Mark E., NV (2d)
  Armstrong, Kelly, ND (At Large)
  Arrington, Jodey C., TX (19th)
 Auchincloss, Jake, MA (4th)
 Axne, Cynthia, IA (3d)
  Babin, Brian, TX (36th)
  Bacon, Don, NE (2d)
  Baird, James R., IN (4th)
  Balderson, Troy, OH (12th)
  Banks, Jim, IN (3d)
  Barr, Andy, KY (6th)
 Barragan, Nanette Diaz, CA (44th)
 Bass, Karen, CA (37th)
 Beatty, Joyce, OH (3d)
  Bentz, Cliff, OR (2d)
 Bera, Ami, CA (7th)
  Bergman, Jack, MI (1st)
 Beyer, Donald S., Jr., VA (8th)
  Bice, Stephanie, OK (5th)
  Biggs, Andy, AZ (5th)
  Bilirakis, Gus M., FL (12th)
  Bishop, Dan, NC (9th)
 Bishop, Sanford D., Jr., GA (2d)
 Blumenauer, Earl, OR (3d)
 Blunt Rochester, Lisa, DE (At Large)
  Boebert, Lauren, CO (3d)
 Bonamici, Suzanne, OR (1st)
  Bost, Mike, IL (12th)
 Bourdeaux, Carolyn, GA (7th)
 Bowman, Jamaal, NY (16th)
 Boyle, Brendan F., PA (2d)
  Brady, Kevin, TX (8th)
  Brooks, Mo, AL (5th)
 Brown, Anthony G., MD (4th)
 Brown, Shontel M., OH (11th)
 Brownley, Julia, CA (26th)
  Buchanan, Vern, FL (16th)
  Buck, Ken, CO (4th)
  Bucshon, Larry, IN (8th)
  Budd, Ted, NC (13th)
  Burchett, Tim, TN (2d)
  Burgess, Michael C., TX (26th)
 Bush, Cori, MO (1st)
 Bustos, Cheri, IL (17th)
 Butterfield, G. K., NC (1st)
  Calvert, Ken, CA (42d)
  Cammack, Kat, FL (3d)
 Carbajal, Salud O., CA (24th)
 Cardenas, Tony, CA (29th)
  Carey, Mike, OH (15th)
  Carl, Jerry, AL (1st)
 Carson, Andre, IN (7th)
  Carter, Earl L. ``Buddy'', GA (1st)
  Carter, John R., TX (31st)
 Carter, Troy A., LA (2d)
 Cartwright, Matt, PA (8th)
 Case, Ed, HI (1st)
 Casten, Sean, IL (6th)
 Castor, Kathy, FL (14th)
 Castro, Joaquin, TX (20th)
  Cawthorn, Madison, NC (11th)
  Chabot, Steve, OH (1st)
  Cheney, Liz, WY (At Large)
 Cherfilus-McCormick, Sheila, FL (20th)
 Chu, Judy, CA (27th)
 Cicilline, David N., RI (1st)
 Clark, Katherine M., MA (5th)
 Clarke, Yvette D., NY (9th)
 Cleaver, Emanuel, MO (5th)
  Cline, Ben, VA (6th)
  Cloud, Michael, TX (27th)
 Clyburn, James E., SC (6th)
  Clyde, Andrew, S., GA (9th)
 Cohen, Steve, TN (9th)
  Cole, Tom, OK (4th)
  Comer, James, KY (1st)
 Connolly, Gerald E., VA (11th)
  Conway, Connie, CA (22d)
 Cooper, Jim, TN (5th)
 Correa, J. Luis, CA (46th)
 Costa, Jim, CA (16th)
 Courtney, Joe, CT (2d)
 Craig, Angie, MN (2d)
  Crawford, Eric A. ``Rick'', AR (1st)
  Crenshaw, Dan, TX (2d)
 Crow, Jason, CO (6th)
 Cuellar, Henry, TX (28th)
  Curtis, John R., UT (3d)
 Davids, Sharice, KS (3d)
  Davidson, Warren, OH (8th)
 Davis, Danny K., IL (7th)
  Davis, Rodney, IL (13th)
 Dean, Madeleine, PA (4th)
 DeFazio, Peter A., OR (4th)
 DeGette, Diana, CO (1st)
 DeLauro, Rosa L., CT (3d)
 DelBene, Suzan K., WA (1st)
 Demings, Val Butler, FL (10th)
 DeSaulnier, Mark, CA (11th)
  DesJarlais, Scott, TN (4th)
  Diaz-Balart, Mario, FL (25th)
 Dingell, Debbie, MI (12th)
 Doggett, Lloyd, TX (35th)
  Donalds, Byron, FL (19th)
 Doyle, Michael F., PA (18th)
  Duncan, Jeff, SC (3d)
  Dunn, Neal P., FL (2d)
  Ellzey, Jake, TX (6th)
  Emmer, Tom, MN (6th)
 Escobar, Veronica, TX (16th)
 Eshoo, Anna G., CA (18th)
 Espaillat, Adriano, NY (13th)
  Estes, Ron, KS (4th)

[[Page 323]]


 Evans, Dwight, PA (3d)
  Fallon, Pat, TX (4th)
  Feenstra, Randy, IA (4th)
  Ferguson, A. Drew, IV, GA (3d)
  Finstad, Brad, MN (1st)
  Fischbach, Michelle, MN (7th)
  Fitzgerald, Scott, WI (5th)
  Fitzpatrick, Brian K., PA (1st)
  Fleischmann, Charles J. ``Chuck'', TN (3d)
 Fletcher, Lizzie, TX (7th)
  Flood, Mike, NE (1st)
  Flores, Mayra, TX (34th)
 Foster, Bill, IL (11th)
  Foxx, Virginia, NC (5th)
 Frankel, Lois, FL (21st)
  Franklin, C. Scott, FL (15th)
  Fulcher, Russ, ID (1st)
  Gaetz, Matt, FL (1st)
  Gallagher, Mike, WI (8th)
 Gallego, Ruben, AZ (7th)
 Garamendi, John, CA (3d)
  Garbarino, Andrew R., NY (2d)
 Garcia, Jesus G. ``Chuy'', IL (4th)
  Garcia, Mike, CA (25th)
 Garcia, Sylvia R., TX (29th)
  Gibbs, Bob, OH (7th)
  Gimenez, Carlos A., FL (26th)
  Gohmert, Louie, TX (1st)
 Golden, Jared F., ME (2d)
 Gomez, Jimmy, CA (34th)
  Gonzales, Tony, TX (23rd)
  Gonzalez, Anthony, OH (16th)
 Gonzalez, Vicente, TX (15th)
  Good, Bob, VA (5th)
  Gooden, Lance, TX (5th)
  Gosar, Paul A., AZ (4th)
 Gottheimer, Josh, NJ (5th)
  Granger, Kay, TX (12th)
  Graves, Garret, LA (6th)
  Graves, Sam, MO (6th)
 Green, Al, TX (9th)
  Green, Mark E., TN (7th)
  Greene, Marjorie Taylor, GA (14th)
  Griffith, H. Morgan, VA (9th)
 Grijalva, Raul M., AZ (3d)
  Grothman, Glenn, WI (6th)
  Guest, Michael, MS (3d)
  Guthrie, Brett, KY (2d)
 Harder, Josh, CA (10th)
  Harris, Andy, MD (1st)
  Harshbarger, Diana, TN (1st)
  Hartzler, Vicky, MO (4th)
 Hayes, Jahana, CT (5th)
  Hern, Kevin, OK (1st)
  Herrell, Yvette, NM (2d)
  Herrera Beutler, Jaime, WA (3d)
  Hice, Jody B., GA (10th)
 Higgins, Brian, NY (26th)
  Higgins, Clay, LA (3d)
  Hill, J. French, AR (2d)
 Himes, James A., CT (4th)
  Hinson, Ashley, IA (1st)
  Hollingsworth, Trey, IN (9th)
 Horsford, Steven, NV (4th)
 Houlahan, Chrissy, PA (6th)
 Hoyer, Steny H., MD (5th)
  Hudson, Richard, NC (8th)
 Huffman, Jared, CA (2d)
  Huizenga, Bill, MI (2d)
  Issa, Darrell, CA (50th)
  Jackson, Ronny, TX (13th)
 Jackson Lee, Sheila, TX (18th)
  Jacobs, Chris, NY (27th)
 Jacobs, Sara, CA (53rd)
 Jayapal, Pramila, WA (7th)
 Jeffries, Hakeem S., NY (8th)
  Johnson, Bill, OH (6th)
  Johnson, Dusty, SD (At Large)
 Johnson, Eddie Bernice, TX (30th)
 Johnson, Henry C. ``Hank'', Jr., GA (4th)
  Johnson, Mike, LA (4th)
 Jones, Mondaire, NY (17th)
  Jordan, Jim, OH (4th)
  Joyce, David P., OH (14th)
  Joyce, John, PA (13th)
 Kahele, Kaiali`i, HI (2d)
 Kaptur, Marcy, OH (9th)
  Katko, John, NY (24th)
 Keating, William R., MA (9th)
  Keller, Fred, PA (12th)
  Kelly, Mike, PA (16th)
 Kelly, Robin L., IL (2d)
  Kelly, Trent, MS (1st)
 Khanna, Ro, CA (17th)
 Kildee, Daniel T., MI (5th)
 Kilmer, Derek, WA (6th)
 Kim, Andy, NJ (3d)
  Kim, Young, CA (39th)
 Kind, Ron, WI (3d)
  Kinzinger, Adam, IL (16th)
 Kirkpatrick, Ann, AZ (2d)
 Krishnamoorthi, Raja, IL (8th)
 Kuster, Ann M., NH (2d)
  Kustoff, David, TN (8th)
  LaHood, Darin, IL (18th)
  LaMalfa, Doug, CA (1st)
 Lamb, Conor, PA (17th)
  Lamborn, Doug, CO (5th)
 Langevin, James R., RI (2d)
 Larsen, Rick, WA (2d)
 Larson, John B., CT (1st)
  Latta, Robert E., OH (5th)
  LaTurner, Jake, KS (2d)
 Lawrence, Brenda L., MI (14th)
 Lawson, Al, Jr., FL (5th)
 Lee, Barbara, CA (13th)
 Lee, Susie, NV (3d)
 Leger Fernandez, Teresa, NM (3d)
  Lesko, Debbie, AZ (8th)
  Letlow, Julia, LA (5th)
 Levin, Andy, MI (9th)
 Levin, Mike, CA (49th)
 Lieu, Ted, CA (33d)
 Lofgren, Zoe, CA (19th)
  Long, Billy, MO (7th)
  Loudermilk, Barry, GA (11th)
 Lowenthal, Alan S., CA (47th)
  Lucas, Frank D., OK (3d)
  Luetkemeyer, Blaine, MO (3d)
 Luria, Elaine G., VA (2d)
 Lynch, Stephen F., MA (8th)
  Mace, Nancy, SC (1st)

[[Page 324]]


 Malinowski, Tom, NJ (7th)
  Malliotakis, Nicole, NY (11th)
 Maloney, Carolyn B., NY (12th)
 Maloney, Sean Patrick, NY (18th)
  Mann, Tracey, KS (1st)
 Manning, Kathy, NC (6th)
  Massie, Thomas, KY (4th)
  Mast, Brian J., FL (18th)
 Matsui, Doris O., CA (6th)
 McBath, Lucy, GA (6th)
  McCarthy, Kevin, CA (23d)
  McCaul, Michael T., TX (10th)
  McClain, Lisa C., MI (10th)
  McClintock, Tom, CA (4th)
 McCollum, Betty, MN (4th)
 McEachin, A. Donald, VA (4th)
 McGovern, James P., MA (2d)
  McHenry, Patrick T., NC (10th)
  McKinley, David B., WV (1st)
 McNerney, Jerry, CA (9th)
 Meeks, Gregory W., NY (5th)
  Meijer, Peter, MI (3d)
 Meng, Grace, NY (6th)
  Meuser, Daniel, PA (9th)
 Mfume, Kweisi, MD (7th)
  Miller, Carol D., WV (3d)
  Miller, Mary E., IL (15th)
  Miller-Meeks, Mariannette, IA (2d)
  Moolenaar, John R., MI (4th)
  Mooney, Alexander X., WV (2d)
  Moore, Barry, AL (2d)
  Moore, Blake D., UT (1st)
 Moore, Gwen, WI (4th)
 Morelle, Joseph D., NY (25th)
 Moulton, Seth, MA (6th)
 Mrvan, Frank J., IN (1st)
  Mullin, Markwayne, OK (2d)
  Murphy, Gregory F., NC (3d)
 Murphy, Stephanie N., FL (7th)
 Nadler, Jerrold, NY (10th)
 Napolitano, Grace F., CA (32d)
 Neal, Richard E., MA (1st)
 Neguse, Joe, CO (2d)
  Nehls, Troy E., TX (22d)
  Newhouse, Dan, WA (4th)
 Newman, Marie, IL (3d)
 Norcross, Donald, NJ (1st)
  Norman, Ralph, SC (5th)
  Obernolte, Jay, CA (8th)
 Ocasio-Cortez, Alexandria, NY (14th)
 O'Halleran, Tom, AZ (1st)
 Omar, Ilhan, MN (5th)
  Owens, Burgess, UT (4th)
  Palazzo, Steven M., MS (4th)
 Pallone, Frank, Jr., NJ (6th)
  Palmer, Gary J., AL (6th)
 Panetta, Jimmy, CA (20th)
 Pappas, Chris, NH (1st)
 Pascrell, Bill, Jr., NJ (9th)
 Payne, Donald M., Jr., NJ (10th)
 Pelosi, Nancy, CA (12th)
 Peltola, Mary Sattler, AK (At Large)
  Pence, Greg, IN (6th)
 Perlmutter, Ed, CO (7th)
  Perry, Scott, PA (10th)
 Peters, Scott H., CA (52d)
  Pfluger, August, TX (11th)
 Phillips, Dean, MN (3d)
 Pingree, Chellie, ME (1st)
 Pocan, Mark, WI (2d)
 Porter, Katie, CA (45th)
  Posey, Bill, FL (8th)
 Pressley, Ayanna, MA (7th)
 Price, David E., NC (4th)
 Quigley, Mike, IL (5th)
 Raskin, Jamie, MD (8th)
  Reschenthaler, Guy, PA (14th)
 Rice, Kathleen M., NY (4th)
  Rice, Tom, SC (7th)
  Rodgers, Cathy McMorris, WA (5th)
  Rogers, Harold, KY (5th)
  Rogers, Mike, AL (3d)
  Rose, John W., TN (6th)
  Rosendale, Matthew M. Sr., MT (At Large)
 Ross, Deborah K., NC (2d)
  Rouzer, David, NC (7th)
  Roy, Chip, TX (21st)
 Roybal-Allard, Lucille, CA (40th)
 Ruiz, Raul, CA (36th)
 Ruppersberger, C. A. Dutch, MD (2d)
 Rush, Bobby L., IL (1st)
  Rutherford, John H., FL (4th)
 Ryan, Patrick, NY (19th)
 Ryan, Tim, OH (13th)
  Salazar, Maria Elvira, FL (27th)
 Sanchez, Linda T., CA (38th)
 Sarbanes, John P., MD (3d)
  Scalise, Steve, LA (1st)
 Scanlon, Mary Gay, PA (5th)
 Schakowsky, Janice D., IL (9th)
 Schiff, Adam B., CA (28th)
 Schneider, Bradley Scott, IL (10th)
 Schrader, Kurt, OR (5th)
 Schrier, Kim, WA (8th)
  Schweikert, David, AZ (6th)
  Scott, Austin, GA (8th)
 Scott, David, GA (13th)
 Scott, Robert C. ``Bobby'', VA (3d)
  Sempolinski, Joseph, NY (23d)
  Sessions, Pete, TX (17th)
 Sewell, Terri A., AL (7th)
 Sherman, Brad, CA (30th)
 Sherrill, Mikie, NJ (11th)
  Simpson, Michael K., ID (2d)
 Sires, Albio, NJ (8th)
 Slotkin, Elissa, MI (8th)
 Smith, Adam, WA (9th)
  Smith, Adrian, NE (3d)
  Smith, Christopher H., NJ (4th)
  Smith, Jason, MO (8th)
  Smucker, Lloyd, PA (11th)
 Soto, Darren, FL (9th)
 Spanberger, Abigail Davis, VA (7th)
  Spartz, Victoria, IN (5th)
 Speier, Jackie, CA (14th)
 Stansbury, Melanie A., NM (1st)
 Stanton, Greg, AZ (9th)
  Stauber, Pete, MN (8th)
  Steel, Michelle, CA (48th)
  Stefanik, Elise M., NY (21st)
  Steil, Bryan, WI (1st)
  Steube, W. Gregory, FL (17th)

[[Page 325]]


 Stevens, Haley M., MI (11th)
  Stewart, Chris, UT (2d)
 Strickland, Marilyn, WA (10th)
 Suozzi, Thomas R., NY (3d)
 Swalwell, Eric, CA (15th)
 Takano, Mark, CA (41st)
  Taylor, Van, TX (3d)
  Tenney, Claudia, NY (22d)
 Thompson, Bennie G., MS (2d)
  Thompson, Glenn, PA (15th)
 Thompson, Mike, CA (5th)
  Tiffany, Thomas P., WI (7th)
  Timmons, William R., IV, SC (4th)
 Titus, Dina, NV (1st)
 Tlaib, Rashida, MI (13th)
 Tonko, Paul, NY (20th)
 Torres, Norma J., CA (35th)
 Torres, Ritchie, NY (15th)
 Trahan, Lori, MA (3d)
 Trone, David J., MD (6th)
  Turner, Michael R., OH (10th)
 Underwood, Lauren, IL (14th)
  Upton, Fred, MI (6th)
  Valadao, David G., CA (21st)
  Van Drew, Jefferson, NJ (2d)
  Van Duyne, Beth, TX (24th)
 Vargas, Juan, CA (51st)
 Veasey, Marc A., TX (33d)
 Velazquez, Nydia M., NY (7th)
  Wagner, Ann, MO (2d)
  Walberg, Tim, MI (7th)
  Waltz, Michael, FL (6th)
 Wasserman Schultz, Debbie, FL (23d)
 Waters, Maxine, CA (43d)
 Watson Coleman, Bonnie, NJ (12th)
  Weber, Randy K., Sr., TX (14th)
  Webster, Daniel, FL (11th)
 Welch, Peter, VT (At Large)
  Wenstrup, Brad R., OH (2d)
  Westerman, Bruce, AR (4th)
 Wexton, Jennifer, VA (10th)
 Wild, Susan, PA (7th)
 Williams, Nikema, GA (5th)
  Williams, Roger, TX (25th)
 Wilson, Frederica S., FL (24th)
  Wilson, Joe, SC (2d)
  Wittman, Robert J., VA (1st)
  Womack, Steve, AR (3d)
 Yarmuth, John A., KY (3d)
  Zeldin, Lee M., NY (1st)

 RESIDENT COMMISSIONER
   Gonzalez-Colon, Jenniffer, PR

 DELEGATES
  Norton, Eleanor Holmes, DC
  Plaskett, Stacey E., VI
   Radewagen, Aumua Amata Coleman, AS
  Sablan, Gregorio Kilili Camacho, MP
  San Nicolas, Michael F. Q., GU


