

Congressional Directory for the 117th Congress (2021-2022), October 2022. - 


Congressional Directory for the 117th Congress (2021-2022), October 2022.
[Page 321]
[From the U.S. Government Publishing Office, www.gpo.gov]


                            ALPHABETICAL LIST
							
                                 SENATORS

 Alphabetical list of Senators, Representatives, Delegates, and Resident 
   Commissioner. Democrats in roman (48); Republicans in italic (50); 
                    Independents in  Small Caps (2).

 Baldwin, Tammy, WI
  Barrasso, John, WY
 Bennet, Michael F., CO
  Blackburn, Marsha, TN
 Blumenthal, Richard, CT
  Blunt, Roy, MO
 Booker, Cory A., NJ
  Boozman, John, AR
  Braun, Mike, IN
 Brown, Sherrod, OH
  Burr, Richard, NC
 Cantwell, Maria, WA
  Capito, Shelley Moore, WV
 Cardin, Benjamin L., MD
 Carper, Thomas R., DE
 Casey, Robert P., Jr., PA
  Cassidy, Bill, LA
  Collins, Susan M., ME
 Coons, Christopher A., DE
  Cornyn, John, TX
 Cortez Masto, Catherine, NV
  Cotton, Tom, AR
  Cramer, Kevin, ND
  Crapo, Mike, ID
  Cruz, Ted, TX
  Daines, Steve, MT
 Duckworth, Tammy, IL
 Durbin, Richard J., IL
  Ernst, Joni, IA
 Feinstein, Dianne, CA
  Fischer, Deb, NE
 Gillibrand, Kirsten E., NY
  Graham, Lindsey, SC
  Grassley, Chuck, IA
  Hagerty, Bill, TN
 Hassan, Margaret Wood, NH
  Hawley, Josh, MO
 Heinrich, Martin, NM
 Hickenlooper, John W., CO
 Hirono, Mazie K., HI
  Hoeven, John, ND
  Hyde-Smith, Cindy, MS
  Inhofe, James M., OK
  Johnson, Ron, WI
 Kaine, Tim, VA
 Kelly, Mark, AZ
  Kennedy, John, LA
  King, Angus S., Jr., ME
 Klobuchar, Amy, MN
  Lankford, James, OK
 Leahy, Patrick J., VT
  Lee, Mike, UT
 Lujan, Ben Ray, NM
  Lummis, Cynthia M., WY
 Manchin, Joe, III, WV
 Markey, Edward J., MA
  Marshall, Roger, KS
  McConnell, Mitch, KY
 Menendez, Robert, NJ
 Merkley, Jeff, OR
  Moran, Jerry, KS
  Murkowski, Lisa, AK
 Murphy, Christopher, CT
 Murray, Patty, WA
 Ossoff, Jon, GA
 Padilla, Alex, CA
  Paul, Rand, KY
 Peters, Gary C., MI
  Portman, Rob, OH
 Reed, Jack, RI
  Risch, James E., ID
  Romney, Mitt, UT
 Rosen, Jacky, NV
  Rounds, Mike, SD
  Rubio, Marco, FL
  Sanders, Bernard, VT
  Sasse, Ben, NE
 Schatz, Brian, HI
 Schumer, Charles E., NY
  Scott, Rick, FL
  Scott, Tim, SC
 Shaheen, Jeanne, NH
  Shelby, Richard C., AL
 Sinema, Kyrsten, AZ
 Smith, Tina, MN
 Stabenow, Debbie, MI
  Sullivan, Dan, AK
 Tester, Jon, MT
  Thune, John, SD
  Tillis, Thom, NC
  Toomey, Patrick J., PA
  Tuberville, Tommy, AL
 Van Hollen, Chris, MD
 Warner, Mark R., VA
 Warnock, Raphael G., GA
 Warren, Elizabeth, MA
 Whitehouse, Sheldon, RI
  Wicker, Roger F., MS
 Wyden, Ron, OR
  Young, Todd, IN


